number,sex,age,race,emotion,extra,sex_label,age_adult,age_child,age_senior,age_teen,race_asian,race_black,race_hispanic,race_other,race_white,emotion_funny,emotion_serious,emotion_smiling
1223,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1224,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1225,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1226,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1227,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1229,male,adult,white,serious,,1,1,0,0,0,0,0,0,0,1,0,1,0
1230,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1231,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1233,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1234,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1235,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1236,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1237,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1238,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1239,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1240,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1241,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1242,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1243,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1244,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1245,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1246,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1247,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1248,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1249,male,child,white,funny,,1,0,1,0,0,0,0,0,0,1,1,0,0
1250,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
